Date,Close,High,Low,Open,Volume
,ADI,ADI,ADI,ADI,ADI
2023-05-30,171.26158142089844,172.6225658482797,168.73267128390438,171.92759570358766,5233100
2023-05-31,171.51254272460938,173.74223234990328,169.14772084106465,169.30214718741448,7035300
2023-06-01,174.13795471191406,175.86571793716746,170.55692833861883,172.98932333315315,4361700
2023-06-02,174.38043212890625,176.51411628911347,173.52695254528123,175.8449120518489,3696600
2023-06-05,169.70571899414062,173.93429972600168,168.42551435361068,173.76942567072126,3311400
2023-06-06,172.60560607910156,173.33299948063774,168.18305656557862,168.37702517955026,3487400
2023-06-07,174.9332733154297,177.83315390704624,172.89658050429014,172.89658050429014,4060900
2023-06-08,176.20376586914062,177.03784420634162,174.6229076477673,175.97100945801418,2995000
2023-06-09,176.96026611328125,180.28687136560214,175.62185757270123,177.74584858749785,3164500
2023-06-12,182.0035400390625,182.29450037358725,179.14246214709337,179.42371443119097,3845700
2023-06-13,186.57154846191406,186.73642251930798,183.71047078576095,184.60273822516953,3827900
2023-06-14,186.1060028076172,188.12330870079234,184.1371927616484,186.81399482049466,4061300
2023-06-15,183.94326782226562,186.10604697144254,183.73959113520743,185.0295040229539,3414400
2023-06-16,182.68243408203125,185.999346314111,182.09082017287085,184.7482361384017,6889200
2023-06-20,182.31387329101562,183.303132435139,179.8116382787367,181.36341674799468,2663500
2023-06-21,179.85044860839844,182.58544014939514,179.75345690033078,180.4129679577057,2941300
2023-06-22,180.50025939941406,180.7524171328642,177.7070638338109,178.33748036572254,2973200
2023-06-23,180.33538818359375,181.45071889784725,177.98833373877164,178.55085312124504,5021500
2023-06-26,180.7233123779297,185.85386880990615,180.62633547001087,182.1878072364137,3365800
2023-06-27,186.5812530517578,186.80431620775954,179.4333908204838,181.1694446140593,3631900
2023-06-28,184.17601013183594,185.39804056268716,182.8861121419375,184.2924031435905,3836400
2023-06-29,183.7686767578125,184.91311681264298,181.94535390941013,184.07903839941318,2623200
2023-06-30,188.93801879882812,189.47144361395434,185.0488938719214,185.22346119385867,3376000
2023-07-03,188.47247314453125,190.62555870264055,186.47456839034206,188.13301698581304,1367600
2023-07-05,184.27297973632812,187.52200924595817,184.14689348824322,186.62972705792635,2693700
2023-07-06,180.57781982421875,182.29447221376438,179.00665497889005,181.26641055073844,4203800
2023-07-07,179.72434997558594,182.97337958705208,179.59826372354905,180.77179819541215,3038000
2023-07-10,185.2913360595703,185.33012386015963,180.17048804815323,180.3062675484993,3367200
2023-07-11,185.19435119628906,186.28060203801238,181.9453363184789,185.88295677272845,2039700
2023-07-12,189.51022338867188,190.14063988850967,186.7752318688821,187.58021568325984,3117600
2023-07-13,192.29371643066406,193.4284483178657,190.00485135594752,190.7516312311639,3364400
2023-07-14,186.18362426757812,191.440252366766,185.7180966142057,191.43055911524934,2922100
2023-07-17,190.44126892089844,191.58569396568683,184.83549229394262,184.83549229394262,3249100
2023-07-18,190.5770721435547,190.87772571652388,187.97786014601493,189.0446949275554,3022900
2023-07-19,189.8884735107422,191.44994533634377,189.42294585805533,191.22688216093132,2040800
2023-07-20,183.93353271484375,188.1039243702536,183.07035983258442,186.09632634473508,3991000
2023-07-21,186.17393493652344,187.81298240878738,184.97130577455758,185.8732665468888,8748400
2023-07-24,186.57154846191406,187.7741775144332,184.90339178858525,185.66958777166687,2663500
2023-07-25,189.76242065429688,191.0135309682223,187.18259481138793,187.18259481138793,2958700
2023-07-26,185.7471923828125,187.00801063451627,184.17601249425846,186.144822881598,2793200
2023-07-27,189.55870056152344,192.12883256353518,187.85175619252666,189.60719641040203,3474600
2023-07-28,192.43919372558594,193.02111435786347,190.27641485360084,192.31310746885933,2883900
2023-07-31,193.5157470703125,194.0685731809554,192.44889745268088,192.7495658350005,2091300
2023-08-01,193.4672393798828,194.039466757347,190.88742875127332,191.6827044912466,1900300
2023-08-02,186.65884399414062,192.18703065117847,186.08661662877896,192.11913349980188,3739700
2023-08-03,185.7180938720703,187.41534519043074,183.24495327697366,184.93249654510353,3040100
2023-08-04,182.67274475097656,184.52516212698293,179.1715570754997,183.30314647805125,3632900
2023-08-07,184.3699951171875,185.60170401109497,183.1770592294321,184.9519009854722,2035200
2023-08-08,180.9851837158203,181.71257714244751,178.211389523661,181.36342770571216,2939500
2023-08-09,179.2394256591797,181.84834562557154,178.83208714084114,180.7912041280604,2341900
2023-08-10,179.14244079589844,183.254628397696,178.58961474630456,181.41190449676094,2268000
2023-08-11,177.68765258789062,178.8902667787307,176.5335194475673,177.48397594006954,2859400
2023-08-14,179.8019561767578,180.02501935093102,177.04756328194844,177.85254711789023,2057000
2023-08-15,175.85462951660156,178.5508331104813,175.58305570820767,177.44519577197562,1959500
2023-08-16,171.82972717285156,175.19513536388348,170.47193199441975,174.95267088210227,4869000
2023-08-17,170.20034790039062,172.89655135693118,169.36626961390903,172.3825279151425,2804100
2023-08-18,170.45252990722656,171.17992334922042,168.19275917156943,168.6582868307654,2834600
2023-08-21,171.8782196044922,172.304959451742,168.96864588108767,170.81136998636762,3345900
2023-08-22,171.33509826660156,173.97311290926967,170.07428005080538,173.59486892441652,4241700
2023-08-23,172.13035583496094,173.40086716768508,163.45982485429167,163.52772200280933,7413500
2023-08-24,168.45460510253906,172.87715434086144,167.73690499676172,171.4417689281625,6811300
2023-08-25,172.7898712158203,173.60454822560055,168.1539520616373,168.1539520616373,4538700
2023-08-28,174.89447021484375,175.66065141513522,173.837328695874,174.6616990001298,2851700
2023-08-29,177.0572509765625,177.91073064067524,172.74138640027726,173.33300029492693,3574800
2023-08-30,176.0970916748047,177.3869895538322,174.96234500116168,176.2037618282205,3080900
2023-08-31,176.30075073242188,178.41504844420706,175.3696955263292,176.09708888058844,3362800
2023-09-01,177.77220153808594,177.97684637369858,176.0474037729625,177.9378741936404,1879000
2023-09-05,176.90493774414062,178.74668191472256,175.60890821638606,176.788006326708,2488000
2023-09-06,177.52859497070312,177.81119905226714,174.1861764562018,176.90493596864906,3382500
2023-09-07,173.90359497070312,176.7782730786921,173.1142632682726,175.34580368905753,5562200
2023-09-08,172.93885803222656,174.30310744928155,172.19826761571147,173.84510624444093,3182200
2023-09-11,173.11424255371094,175.3165498556078,170.8144973686626,174.95598656726048,2768100
2023-09-12,170.5806427001953,174.43952802277815,170.55140984693355,171.99361846159155,2862900
2023-09-13,171.6720428466797,173.08501861334497,170.82426036052115,171.41868649439866,2269400
2023-09-14,175.08267211914062,175.51144043864554,170.74629228633376,173.6989292775035,4135400
2023-09-15,173.5917510986328,174.99498757694474,172.68550288009178,174.82932978008895,6062000
2023-09-18,175.1314239501953,175.75508299579448,172.87065061664546,173.5527902436609,2733700
2023-09-19,174.18617248535156,174.4492830351399,171.66230368060613,173.65021205770987,2852700
2023-09-20,171.5843505859375,174.50775498396624,171.43817144451387,174.44928927507826,2606500
2023-09-21,169.40151977539062,172.14952677357223,168.97275146056495,170.921687532171,3780800
2023-09-22,170.99964904785156,172.36391323775527,169.8107968387251,170.5221692202073,2839700
2023-09-25,170.95094299316406,171.09712213938906,168.6414582010101,170.04469473722665,2300400
2023-09-26,167.9398193359375,169.38204274861434,167.04331051868564,168.93378090538724,3492500
2023-09-27,168.39781188964844,169.5574311831341,166.29295745118046,168.57322386078823,2558400
2023-09-28,171.9059295654297,173.08502769781134,167.86187782951583,168.397838284782,2781800
2023-09-29,170.61961364746094,174.04974547432835,169.68413261144445,173.41634716596724,2703800
2023-10-02,170.95094299316406,172.38341238478478,169.25537790290588,170.53192881956826,1727200
2023-10-03,167.13101196289062,171.89616019136477,166.1370652454635,169.34305862703624,3226100
2023-10-04,169.35281372070312,169.8790348499322,167.33567237653565,168.1834549112665,3601000
2023-10-05,167.70594787597656,170.1713507136257,165.55236706472175,169.77181526709404,2874600
2023-10-06,169.52821350097656,170.8145036378828,165.7862596328092,166.35145290495993,3259900
2023-10-09,168.8948211669922,169.45999958992417,167.05306215152137,168.4368199624894,2571900
2023-10-10,171.47715759277344,173.0363125445191,169.0409872739231,169.2163843996626,2924500
2023-10-11,170.45394897460938,172.57829704877636,168.81684979308093,171.86692466873382,2466900
2023-10-12,169.1676788330078,171.6817936055053,167.82290801160357,171.3992043810384,3569000
2023-10-13,166.7022705078125,169.81081135930881,165.68881532359998,169.53796147183704,2699900
2023-10-16,168.33935546875,169.31382351777316,167.12127040747106,167.3453938953697,3258900
2023-10-17,168.2029266357422,169.62565649676952,164.42198593507405,165.16259115144527,2283600
2023-10-18,166.89715576171875,168.5440092308899,165.38672723187045,166.34170180713065,3827200
2023-10-19,164.41224670410156,168.6122015213769,163.93475201796136,168.5147487709966,3692800
2023-10-20,162.2684326171875,165.40622109726706,161.7714443685443,164.7046028738205,3399600
2023-10-23,159.68609619140625,163.03826911582868,159.4717120018766,161.3232104687959,2757500
2023-10-24,160.71900939941406,161.09906621583167,158.69212892706864,160.41692668101265,3206300
2023-10-25,155.7102508544922,158.34132661475078,154.94042759943494,157.87357122183187,5142300
2023-10-26,156.75294494628906,159.7445543917193,156.5775329498292,156.76268427473536,3528300
2023-10-27,156.47035217285156,158.34132916707625,155.72000756183533,157.35710685583066,2168900
2023-10-30,151.9001007080078,153.98546196423212,151.03282464512023,153.59566578084195,4421400
2023-10-31,153.3130645751953,153.6151473004588,151.19847062914795,152.5042542857334,3151800
2023-11-01,155.17431640625,155.4081792502507,151.50056724996224,153.43976425695854,4324600
2023-11-02,160.1440887451172,161.05035183703836,157.5130277707587,157.84434336599713,4105900
2023-11-03,163.6326904296875,165.13337971171538,161.70324765056995,161.70324765056995,3536600
2023-11-06,163.29161071777344,164.6071336028631,161.3621533622525,163.1649251189923,2132900
2023-11-07,163.8178253173828,164.80203269999927,162.67769947736102,163.29161911014293,2537400
2023-11-08,164.59739685058594,166.1467974340013,163.22339337357897,164.19786139371976,3452000
2023-11-09,162.86285400390625,166.26373806667291,162.52178423024526,165.15284505682087,4211500
2023-11-10,167.92034912109375,168.57324095986968,163.55472135347688,164.95795778812493,3671000
2023-11-13,166.302734375,167.23821545158674,165.7570346021238,166.39043293795433,3243700
2023-11-14,173.04605102539062,173.74766926331964,170.53192148434556,170.7268121350584,3448600
2023-11-15,176.16433715820312,178.14250615810107,174.44927870155743,174.44927870155743,3293200
2023-11-16,175.2483367919922,177.0218758434461,174.0984715892101,176.7002995911758,3286900
2023-11-17,178.3763885498047,178.88311612481502,176.49565738617954,178.2497029387513,3279000
2023-11-20,179.12672424316406,179.98424601684818,177.44088380938004,177.44088380938004,3811100
2023-11-21,176.62234497070312,179.81859918256774,174.85856007034408,178.38612987106217,4965900
2023-11-22,178.00608825683594,179.50677747625613,176.80749664230407,177.50911487256744,2926300
2023-11-24,178.3763885498047,178.70770413495626,177.5578389150056,178.1327715249809,1127100
2023-11-27,179.07801818847656,179.67244436171407,176.7977513901466,177.9963579345265,3520200
2023-11-28,178.5225372314453,179.8380749983244,177.68449414444717,178.58100293322627,2797900
2023-11-29,178.0450897216797,182.15733180806888,177.86967771531172,180.55920456958253,2986600
2023-11-30,178.6979522705078,178.814883676075,176.14483591840775,178.50304676895965,4356200
2023-12-01,179.2364501953125,180.02948609011148,177.3664427524754,178.9427293240963,2332900
2023-12-04,179.42245483398438,179.60847854610606,176.40694950829592,177.8559684557365,3316000
2023-12-05,176.84754943847656,178.6881714225927,175.86848978804247,178.40425069724327,2620000
2023-12-06,176.78878784179688,179.16789534686808,176.3971550632733,179.16789534686808,2763400
2023-12-07,180.51901245117188,181.83094871973822,176.59297392399935,178.52172251642375,3717600
2023-12-08,181.008544921875,182.39880777109678,179.96094397154317,180.3917325889034,2404200
2023-12-11,186.1486053466797,187.10807956559395,181.67429583224106,181.7624076102583,3499500
2023-12-12,186.97100830078125,187.0493348595213,185.15974211066816,186.2367136192646,2841100
2023-12-13,188.24378967285156,189.04661076021898,185.6884435708938,187.40179783628753,3701800
2023-12-14,195.97836303710938,196.06647481779817,189.14453104828866,189.14453104828866,5610000
2023-12-15,196.6735076904297,198.5239298352906,195.83151579207015,197.7113085313523,7057400
2023-12-18,192.47332763671875,196.9770078767403,192.05233916981433,196.6735017839926,3421000
2023-12-19,193.6873779296875,193.95172822579391,192.57125049411778,193.56009539095754,1981800
2023-12-20,188.16546630859375,193.3055291920483,188.038183780439,192.1502310993499,3629500
2023-12-21,192.16981506347656,193.5600778880832,190.69144046122372,191.03410235404675,2636800
2023-12-22,192.97264099121094,195.28322209936795,191.6313192649259,193.48174119490133,1754600
2023-12-26,194.70556640625,195.64547014018012,193.40341542221515,193.75587745503105,1606900
2023-12-27,195.17552185058594,195.26363362221701,193.93211207360642,194.70556252336146,1646100
2023-12-28,196.04690551757812,197.25114467842906,195.5280051092739,196.65391770708172,2215500
2023-12-29,194.4020538330078,196.4972405859502,193.94189466836164,195.68461940028277,1542400
2024-01-02,189.52635192871094,192.943275180462,187.49969146319813,192.943275180462,3279200
2024-01-03,185.0030975341797,187.09828435540857,184.70937668387856,186.77519291400364,3297400
