Date,Close,High,Low,Open,Volume
,AEP,AEP,AEP,AEP,AEP
2023-04-17,86.12337493896484,86.40955819233524,85.28327861761694,85.9018139377522,1632000
2023-04-18,85.36637115478516,86.23416174892569,84.98786434898429,86.23416174892569,2070900
2023-04-19,86.35416412353516,86.36339788561746,85.56022962358038,85.80948485342815,1622000
2023-04-20,86.32647705078125,86.79729330663223,85.94797025023325,86.58496606418117,2099700
2023-04-21,86.70497131347656,87.14810033929314,86.15106531367853,86.85268333651439,2506900
2023-04-24,87.0003890991211,87.2219571356716,86.07721007671825,86.49264486277772,2197400
2023-04-25,87.129638671875,87.45275698316699,86.83422164923746,86.98193368220493,1642500
2023-04-26,85.16327667236328,86.98194072660321,84.94171564826593,86.52958491477588,1998900
2023-04-27,85.68023681640625,86.05874356987262,85.14479837380732,85.26480910273015,2004700
2023-04-28,85.3202133178711,86.12338169480421,84.39703418988731,85.50485336944654,2621300
2023-05-01,85.53253936767578,86.37262863060873,84.9509320654251,85.20942811270157,3046300
2023-05-02,84.26778411865234,85.75410298015933,83.76003985772157,85.62485847422806,2134300
2023-05-03,83.8892822265625,85.06171651287039,83.70464219186631,84.69244348677516,1998400
2023-05-04,84.41549682617188,85.28328036676004,82.77223920048874,83.64925650394517,2365100
2023-05-05,85.03401947021484,85.1724977308557,83.77849544878582,83.93543419064021,3328700
2023-05-08,85.06172180175781,85.74487236436711,84.41549924838382,84.98786578328719,2476700
2023-05-09,84.86608123779297,85.07102790937726,84.08356533609265,84.77292559816003,2026700
2023-05-10,85.44366455078125,85.72313149249551,84.49345846991997,85.25734614898477,1657500
2023-05-11,84.47482299804688,85.50886694127148,84.01835539028276,85.16418325775672,1676800
2023-05-12,85.38777923583984,85.63930021370886,84.80088510861069,85.16419713626642,3314600
2023-05-15,83.9251937866211,85.79765272381516,83.47804386889462,85.69517938697788,2788600
2023-05-16,82.06206512451172,84.14878875149665,81.996855455376,84.05563309663432,2482900
2023-05-17,81.11186218261719,82.18316993045026,80.42250184091647,82.13658855159296,2674900
2023-05-18,80.71128845214844,80.82307949973229,79.87287336357141,80.5529231318952,2595400
2023-05-19,80.63675689697266,81.4751719419832,80.5342835521758,80.80443990597476,2117100
2023-05-22,80.49703216552734,81.44723120621607,80.38524111654951,81.19571023016697,1458000
2023-05-23,80.11507415771484,80.88827948615653,80.00328312351078,80.236175780946,1812100
